doc_id,corpus,author,segment_id,marker,marker_group,marker_category,count,word_count,prevalence
Harris_12.17.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,119,0
Harris_12.20.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,38,0
Harris_12.29.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,84,0
Harris_12.3.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,365,0
Harris_4.10.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,569,0
Harris_4.12.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,518,0
Harris_4.21.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,648,0
Harris_4.3.1999,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,224,0
Harris_5.20.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,356,0
Harris_5.6.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,421,0
Harris_5.9.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,229,0
Harris_6.12.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,306,0
Harris_6.13.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,217,0
Harris_7.29.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,410,0
“Cultural-National” Autonomy_11.28.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,1,1347,0.7423904974016332
“Disgrace” as the Capitalists and the Proletarians Understand It_5.5.1917,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,448,0
A Contribution to the History of the National Programme in Austria and in Russia_2.5.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,770,0
A Disgraceful Resolution_10.18.1912,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,325,0
A New Chapter of World History_10.21.1912,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,343,0
Bill on the Equality of Nations and the Safeguarding of the Rights of National Minorities_5.6.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,642,0
Cadets and Nationalists_10.24.1912,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,328,0
Cadets on the Question of the Ukraine_7.16.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,485,0
Clarity Has Been Achieved_6.5.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1582,0
Class War in Dublin_8.29.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1432,0
Concerning Certain Speeches by Workers’ Deputies_11.1912,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1576,0
Concerning the Workers’ Deputies to the Duma and Their Declaration_11.1912,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1298,0
Corrupting the Workers with Refined Nationalism_5.10.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,930,0
Does the Jewish Proletariat Need an “Independent Political Party”__2.15.1903,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1829,0
Draft Platform for the Fourth Congress of Social-Democrats of the Latvian Area_6.25.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,2872,0
Draft Theses on National and Colonial Questions_6.5.1920,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,2315,0
Editorial Comment on Veteran’s Article_ “The National Question and the Lettish Proletariat”_2.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,233,0
Finland and Russia_5.15.1917,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1238,0
How Does Bishop Nikon Defend the Ukrainians__9.13.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,688,0
Is a Compulsory Official Language Needed__1.18.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,900,0
"It Is Undemocratic, Citizen Kerensky!_6.15.1917",longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,466,0
Liberals and Democrats on the Language Question_9.5.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1092,0
Manifesto To The Ukrainian People_12.3.1917,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,722,0
More About “Nationalism”_2.20.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,668,0
National-Liberalism and the Right of Nations to Self-Determination_12.20.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,620,0
National Equality_4.16.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,535,0
Novoye Vremya and Rech on the Right of Nations to Self-Determination_12.25.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,307,0
On the Manifesto of the Armenian Social-Democrats_2.1.1903,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1294,0
On the National Pride of the Great Russians_12.12.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1534,0
On the Question of National Policy_4.6.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,2883,0
Once More on the Segregation of the Schools According to Nationality_12.17.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,826,0
Political Lessons_3.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,598,0
"Resolutions of the Summer, 1913_9.1913",longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,3930,0
